0.000000	-nan(ind)
0.043301	6.612763
0.086603	9.172980
0.129904	15.916700
0.173205	18.784572
0.216506	24.889297
0.259808	28.831418
0.303109	30.640028
0.346410	33.510866
0.389711	39.024331
0.433013	42.540526
0.476314	46.256994
0.519615	49.563423
0.562917	54.183996
0.606218	54.844832
0.649519	57.883805
0.692820	59.810204
0.736122	62.057994
0.779423	65.897393
0.822724	67.590729
0.866025	68.783037
0.909327	70.310104
0.952628	72.947040
0.995929	73.952938
1.039230	74.535538
1.082532	74.908393
1.125833	76.245417
1.169134	77.862448
1.212436	78.361098
1.255737	79.438106
1.299038	80.091845
1.342339	81.821163
1.385641	81.863011
1.428942	81.884140
1.472243	82.840002
1.515544	83.292158
1.558846	84.225354
1.602147	84.734423
1.645448	85.251165
1.688750	85.441131
