t	Ecin	Epot	Rg	buf4	buf5
700.000000	0.280404	1.153183	1.732534	0.000000	0.000000
700.010000	0.280403	1.153180	1.732537	0.000000	0.000000
700.020000	0.280403	1.153177	1.732540	0.000000	0.000000
700.030000	0.280403	1.153175	1.732543	0.000000	0.000000
700.040000	0.280403	1.153173	1.732546	0.000000	0.000000
700.050000	0.280402	1.153171	1.732549	0.000000	0.000000
700.060000	0.280402	1.153170	1.732552	0.000000	0.000000
700.070000	0.280401	1.153169	1.732555	0.000000	0.000000
700.080000	0.280400	1.153168	1.732557	0.000000	0.000000
700.090000	0.280399	1.153168	1.732560	0.000000	0.000000
700.100000	0.280398	1.153168	1.732563	0.000000	0.000000
700.110000	0.280397	1.153168	1.732566	0.000000	0.000000
700.120000	0.280397	1.153167	1.732569	0.000000	0.000000
700.130000	0.280396	1.153166	1.732572	0.000000	0.000000
700.140000	0.280395	1.153165	1.732575	0.000000	0.000000
700.150000	0.280395	1.153164	1.732577	0.000000	0.000000
700.160000	0.280394	1.153161	1.732580	0.000000	0.000000
700.170000	0.280394	1.153159	1.732583	0.000000	0.000000
700.180000	0.280393	1.153156	1.732585	0.000000	0.000000
700.190000	0.280393	1.153153	1.732588	0.000000	0.000000
700.200000	0.280393	1.153150	1.732591	0.000000	0.000000
700.210000	0.280393	1.153148	1.732593	0.000000	0.000000
700.220000	0.280392	1.153145	1.732596	0.000000	0.000000
700.230000	0.280392	1.153143	1.732598	0.000000	0.000000
700.240000	0.280391	1.153141	1.732601	0.000000	0.000000
700.250000	0.280390	1.153139	1.732603	0.000000	0.000000
700.260000	0.280390	1.153138	1.732606	0.000000	0.000000
700.270000	0.280389	1.153137	1.732608	0.000000	0.000000
700.280000	0.280388	1.153137	1.732610	0.000000	0.000000
700.290000	0.280387	1.153136	1.732613	0.000000	0.000000
700.300000	0.280386	1.153136	1.732615	0.000000	0.000000
700.310000	0.280384	1.153135	1.732617	0.000000	0.000000
700.320000	0.280383	1.153135	1.732619	0.000000	0.000000
700.330000	0.280382	1.153134	1.732621	0.000000	0.000000
700.340000	0.280381	1.153133	1.732624	0.000000	0.000000
700.350000	0.280380	1.153132	1.732626	0.000000	0.000000
700.360000	0.280379	1.153131	1.732628	0.000000	0.000000
700.370000	0.280379	1.153129	1.732630	0.000000	0.000000
700.380000	0.280378	1.153128	1.732632	0.000000	0.000000
700.390000	0.280378	1.153126	1.732634	0.000000	0.000000
700.400000	0.280378	1.153124	1.732636	0.000000	0.000000
700.410000	0.280377	1.153122	1.732638	0.000000	0.000000
700.420000	0.280377	1.153121	1.732640	0.000000	0.000000
700.430000	0.280376	1.153119	1.732642	0.000000	0.000000
700.440000	0.280375	1.153118	1.732644	0.000000	0.000000
700.450000	0.280374	1.153117	1.732646	0.000000	0.000000
700.460000	0.280372	1.153116	1.732648	0.000000	0.000000
700.470000	0.280371	1.153115	1.732649	0.000000	0.000000
700.480000	0.280370	1.153115	1.732651	0.000000	0.000000
700.490000	0.280368	1.153114	1.732653	0.000000	0.000000
700.500000	0.280367	1.153113	1.732655	0.000000	0.000000
700.510000	0.280365	1.153113	1.732656	0.000000	0.000000
700.520000	0.280364	1.153112	1.732658	0.000000	0.000000
700.530000	0.280362	1.153111	1.732659	0.000000	0.000000
700.540000	0.280361	1.153110	1.732661	0.000000	0.000000
700.550000	0.280360	1.153109	1.732663	0.000000	0.000000
700.560000	0.280359	1.153108	1.732664	0.000000	0.000000
700.570000	0.280358	1.153106	1.732666	0.000000	0.000000
700.580000	0.280357	1.153105	1.732667	0.000000	0.000000
700.590000	0.280356	1.153103	1.732669	0.000000	0.000000
700.600000	0.280355	1.153101	1.732670	0.000000	0.000000
700.610000	0.280354	1.153100	1.732671	0.000000	0.000000
700.620000	0.280354	1.153098	1.732673	0.000000	0.000000
700.630000	0.280353	1.153095	1.732674	0.000000	0.000000
700.640000	0.280353	1.153093	1.732676	0.000000	0.000000
700.650000	0.280352	1.153091	1.732677	0.000000	0.000000
700.660000	0.280352	1.153088	1.732678	0.000000	0.000000
700.670000	0.280352	1.153086	1.732680	0.000000	0.000000
700.680000	0.280352	1.153084	1.732681	0.000000	0.000000
700.690000	0.280351	1.153082	1.732683	0.000000	0.000000
700.700000	0.280351	1.153081	1.732684	0.000000	0.000000
700.710000	0.280350	1.153080	1.732685	0.000000	0.000000
700.720000	0.280349	1.153079	1.732687	0.000000	0.000000
700.730000	0.280348	1.153078	1.732688	0.000000	0.000000
700.740000	0.280348	1.153077	1.732690	0.000000	0.000000
700.750000	0.280347	1.153077	1.732691	0.000000	0.000000
700.760000	0.280346	1.153076	1.732693	0.000000	0.000000
700.770000	0.280345	1.153075	1.732694	0.000000	0.000000
700.780000	0.280344	1.153074	1.732695	0.000000	0.000000
700.790000	0.280343	1.153072	1.732697	0.000000	0.000000
700.800000	0.280343	1.153070	1.732698	0.000000	0.000000
700.810000	0.280342	1.153068	1.732700	0.000000	0.000000
700.820000	0.280341	1.153066	1.732701	0.000000	0.000000
700.830000	0.280341	1.153064	1.732702	0.000000	0.000000
700.840000	0.280341	1.153061	1.732704	0.000000	0.000000
700.850000	0.280340	1.153059	1.732705	0.000000	0.000000
700.860000	0.280340	1.153057	1.732707	0.000000	0.000000
700.870000	0.280340	1.153055	1.732708	0.000000	0.000000
700.880000	0.280340	1.153053	1.732709	0.000000	0.000000
700.890000	0.280340	1.153051	1.732711	0.000000	0.000000
700.900000	0.280340	1.153049	1.732712	0.000000	0.000000
700.910000	0.280341	1.153048	1.732714	0.000000	0.000000
700.920000	0.280341	1.153047	1.732715	0.000000	0.000000
700.930000	0.280342	1.153045	1.732717	0.000000	0.000000
700.940000	0.280342	1.153044	1.732719	0.000000	0.000000
700.950000	0.280343	1.153043	1.732720	0.000000	0.000000
700.960000	0.280343	1.153041	1.732722	0.000000	0.000000
700.970000	0.280343	1.153040	1.732723	0.000000	0.000000
700.980000	0.280344	1.153038	1.732725	0.000000	0.000000
700.990000	0.280344	1.153036	1.732727	0.000000	0.000000
701.000000	0.280345	1.153034	1.732728	0.000000	0.000000
701.010000	0.280346	1.153032	1.732730	0.000000	0.000000
701.020000	0.280347	1.153029	1.732732	0.000000	0.000000
701.030000	0.280347	1.153027	1.732734	0.000000	0.000000
701.040000	0.280348	1.153025	1.732736	0.000000	0.000000
701.050000	0.280348	1.153022	1.732737	0.000000	0.000000
701.060000	0.280349	1.153019	1.732739	0.000000	0.000000
701.070000	0.280350	1.153017	1.732741	0.000000	0.000000
701.080000	0.280351	1.153014	1.732743	0.000000	0.000000
701.090000	0.280351	1.153012	1.732745	0.000000	0.000000
701.100000	0.280352	1.153010	1.732747	0.000000	0.000000
701.110000	0.280353	1.153008	1.732749	0.000000	0.000000
701.120000	0.280353	1.153007	1.732751	0.000000	0.000000
701.130000	0.280354	1.153006	1.732753	0.000000	0.000000
701.140000	0.280355	1.153005	1.732755	0.000000	0.000000
701.150000	0.280355	1.153005	1.732758	0.000000	0.000000
701.160000	0.280356	1.153004	1.732760	0.000000	0.000000
701.170000	0.280356	1.153004	1.732762	0.000000	0.000000
701.180000	0.280357	1.153003	1.732764	0.000000	0.000000
701.190000	0.280357	1.153003	1.732766	0.000000	0.000000
701.200000	0.280358	1.153001	1.732769	0.000000	0.000000
701.210000	0.280358	1.153000	1.732771	0.000000	0.000000
701.220000	0.280359	1.152997	1.732773	0.000000	0.000000
701.230000	0.280360	1.152995	1.732775	0.000000	0.000000
701.240000	0.280361	1.152992	1.732778	0.000000	0.000000
701.250000	0.280363	1.152988	1.732780	0.000000	0.000000
701.260000	0.280364	1.152985	1.732782	0.000000	0.000000
701.270000	0.280364	1.152982	1.732785	0.000000	0.000000
701.280000	0.280365	1.152980	1.732787	0.000000	0.000000
701.290000	0.280366	1.152978	1.732790	0.000000	0.000000
701.300000	0.280366	1.152977	1.732792	0.000000	0.000000
701.310000	0.280366	1.152976	1.732795	0.000000	0.000000
701.320000	0.280366	1.152976	1.732797	0.000000	0.000000
701.330000	0.280366	1.152977	1.732800	0.000000	0.000000
701.340000	0.280365	1.152978	1.732802	0.000000	0.000000
701.350000	0.280365	1.152980	1.732805	0.000000	0.000000
701.360000	0.280364	1.152981	1.732808	0.000000	0.000000
701.370000	0.280364	1.152983	1.732810	0.000000	0.000000
701.380000	0.280364	1.152984	1.732813	0.000000	0.000000
701.390000	0.280364	1.152985	1.732816	0.000000	0.000000
701.400000	0.280364	1.152985	1.732818	0.000000	0.000000
701.410000	0.280364	1.152985	1.732821	0.000000	0.000000
701.420000	0.280365	1.152985	1.732824	0.000000	0.000000
701.430000	0.280365	1.152983	1.732827	0.000000	0.000000
701.440000	0.280365	1.152982	1.732830	0.000000	0.000000
701.450000	0.280366	1.152980	1.732832	0.000000	0.000000
701.460000	0.280367	1.152978	1.732835	0.000000	0.000000
701.470000	0.280368	1.152976	1.732838	0.000000	0.000000
701.480000	0.280369	1.152973	1.732841	0.000000	0.000000
701.490000	0.280370	1.152971	1.732844	0.000000	0.000000
701.500000	0.280371	1.152969	1.732847	0.000000	0.000000
701.510000	0.280372	1.152966	1.732850	0.000000	0.000000
701.520000	0.280372	1.152964	1.732853	0.000000	0.000000
701.530000	0.280373	1.152962	1.732855	0.000000	0.000000
701.540000	0.280373	1.152960	1.732858	0.000000	0.000000
701.550000	0.280374	1.152958	1.732861	0.000000	0.000000
701.560000	0.280375	1.152956	1.732864	0.000000	0.000000
