t	Ecin	Epot	Rg	buf4	buf5
40086.000000	0.500379	0.510496	0.798261	0.658545	-0.002352
40087.000000	0.500376	0.510491	0.798255	0.658537	-0.002348
40088.000000	0.500371	0.510491	0.798255	0.658536	-0.002339
40089.000000	0.500366	0.510493	0.798257	0.658539	-0.002334
40090.000000	0.500359	0.510492	0.798258	0.658541	-0.002329
40091.000000	0.500356	0.510489	0.798256	0.658537	-0.002320
40092.000000	0.500352	0.510488	0.798253	0.658532	-0.002313
40093.000000	0.500348	0.510482	0.798251	0.658529	-0.002304
40094.000000	0.500345	0.510479	0.798254	0.658534	-0.002300
40095.000000	0.500342	0.510476	0.798258	0.658541	-0.002306
40096.000000	0.500339	0.510470	0.798259	0.658542	-0.002320
40097.000000	0.500336	0.510465	0.798256	0.658536	-0.002327
40098.000000	0.500335	0.510471	0.798254	0.658534	-0.002333
40099.000000	0.500336	0.510475	0.798256	0.658536	-0.002328
40100.000000	0.500336	0.510481	0.798262	0.658546	-0.002312
40101.000000	0.500334	0.510485	0.798261	0.658545	-0.002298
40102.000000	0.500335	0.510502	0.798265	0.658551	-0.002283
40103.000000	0.500337	0.510516	0.798269	0.658559	-0.002271
40104.000000	0.500340	0.510532	0.798273	0.658565	-0.002260
40105.000000	0.500338	0.510544	0.798275	0.658568	-0.002248
40106.000000	0.500334	0.510539	0.798276	0.658570	-0.002243
40107.000000	0.500329	0.510535	0.798279	0.658574	-0.002244
40108.000000	0.500324	0.510531	0.798277	0.658569	-0.002245
40109.000000	0.500323	0.510527	0.798271	0.658562	-0.002240
40110.000000	0.500318	0.510523	0.798269	0.658557	-0.002233
40111.000000	0.500314	0.510519	0.798265	0.658552	-0.002228
40112.000000	0.500313	0.510515	0.798265	0.658550	-0.002224
40113.000000	0.500310	0.510511	0.798267	0.658553	-0.002216
40114.000000	0.500315	0.510508	0.798268	0.658556	-0.002202
40115.000000	0.500315	0.510504	0.798268	0.658555	-0.002197
40116.000000	0.500312	0.510503	0.798268	0.658553	-0.002195
40117.000000	0.500307	0.510502	0.798265	0.658550	-0.002196
40118.000000	0.500304	0.510497	0.798263	0.658545	-0.002195
40119.000000	0.500301	0.510491	0.798265	0.658549	-0.002194
40120.000000	0.500294	0.510483	0.798266	0.658549	-0.002199
