t	Ecin	Epot	Rg	buf4	buf5
25000.000000	0.498697	0.508126	0.797531	0.657357	-0.000674
25001.000000	0.498702	0.508136	0.797525	0.657348	-0.000667
25002.000000	0.498709	0.508144	0.797526	0.657350	-0.000644
25003.000000	0.498708	0.508149	0.797532	0.657358	-0.000622
25004.000000	0.498709	0.508169	0.797543	0.657378	-0.000593
25005.000000	0.498725	0.508199	0.797544	0.657380	-0.000573
25006.000000	0.498741	0.508201	0.797540	0.657373	-0.000583
25007.000000	0.498748	0.508196	0.797533	0.657362	-0.000590
25008.000000	0.498759	0.508209	0.797529	0.657355	-0.000596
25009.000000	0.498757	0.508211	0.797525	0.657349	-0.000599
25010.000000	0.498764	0.508234	0.797521	0.657342	-0.000595
25011.000000	0.498770	0.508242	0.797526	0.657351	-0.000611
25012.000000	0.498773	0.508240	0.797527	0.657351	-0.000619
25013.000000	0.498775	0.508242	0.797526	0.657349	-0.000629
25014.000000	0.498779	0.508257	0.797532	0.657359	-0.000624
25015.000000	0.498783	0.508281	0.797542	0.657377	-0.000595
25016.000000	0.498789	0.508302	0.797543	0.657378	-0.000573
25017.000000	0.498783	0.508298	0.797544	0.657380	-0.000571
25018.000000	0.498775	0.508294	0.797546	0.657382	-0.000577
25019.000000	0.498766	0.508289	0.797544	0.657378	-0.000591
25020.000000	0.498761	0.508276	0.797537	0.657367	-0.000598
25021.000000	0.498759	0.508263	0.797532	0.657359	-0.000599
25022.000000	0.498752	0.508254	0.797532	0.657359	-0.000603
25023.000000	0.498755	0.508258	0.797527	0.657351	-0.000609
25024.000000	0.498765	0.508253	0.797527	0.657351	-0.000608
25025.000000	0.498771	0.508246	0.797534	0.657361	-0.000622
25026.000000	0.498775	0.508242	0.797537	0.657368	-0.000632
25027.000000	0.498781	0.508242	0.797531	0.657358	-0.000643
25028.000000	0.498779	0.508248	0.797523	0.657347	-0.000639
25029.000000	0.498776	0.508241	0.797517	0.657337	-0.000644
25030.000000	0.498785	0.508256	0.797526	0.657353	-0.000670
25031.000000	0.498783	0.508257	0.797521	0.657346	-0.000678
25032.000000	0.498782	0.508260	0.797519	0.657341	-0.000674
25033.000000	0.498792	0.508273	0.797518	0.657339	-0.000665
25034.000000	0.498799	0.508294	0.797520	0.657341	-0.000666
25035.000000	0.498793	0.508286	0.797510	0.657327	-0.000672
25036.000000	0.498788	0.508284	0.797504	0.657318	-0.000682
25037.000000	0.498789	0.508278	0.797500	0.657311	-0.000687
25038.000000	0.498788	0.508272	0.797508	0.657325	-0.000676
25039.000000	0.498782	0.508269	0.797506	0.657322	-0.000668
25040.000000	0.498778	0.508275	0.797502	0.657315	-0.000671
25041.000000	0.498768	0.508266	0.797506	0.657320	-0.000673
25042.000000	0.498764	0.508263	0.797513	0.657333	-0.000681
25043.000000	0.498758	0.508264	0.797522	0.657348	-0.000686
25044.000000	0.498757	0.508266	0.797530	0.657362	-0.000678
25045.000000	0.498751	0.508271	0.797536	0.657371	-0.000657
25046.000000	0.498749	0.508262	0.797530	0.657362	-0.000650
25047.000000	0.498755	0.508251	0.797538	0.657375	-0.000658
25048.000000	0.498761	0.508256	0.797546	0.657388	-0.000682
25049.000000	0.498760	0.508256	0.797557	0.657408	-0.000712
25050.000000	0.498756	0.508250	0.797563	0.657419	-0.000714
25051.000000	0.498747	0.508246	0.797563	0.657418	-0.000704
25052.000000	0.498739	0.508242	0.797559	0.657411	-0.000697
25053.000000	0.498733	0.508238	0.797557	0.657407	-0.000687
25054.000000	0.498736	0.508240	0.797564	0.657420	-0.000671
25055.000000	0.498736	0.508236	0.797572	0.657432	-0.000657
25056.000000	0.498742	0.508233	0.797580	0.657446	-0.000642
25057.000000	0.498747	0.508238	0.797583	0.657451	-0.000649
25058.000000	0.498745	0.508233	0.797589	0.657461	-0.000669
25059.000000	0.498746	0.508228	0.797583	0.657452	-0.000676
25060.000000	0.498744	0.508241	0.797577	0.657443	-0.000667
25061.000000	0.498747	0.508251	0.797577	0.657441	-0.000651
