t	Ecin	Epot	Rg	buf4	buf5
200.000000	0.276205	1.106111	1.951029	0.000000	0.000000
200.010000	0.276200	1.106110	1.951014	0.000000	0.000000
200.020000	0.276196	1.106110	1.950999	0.000000	0.000000
200.030000	0.276192	1.106110	1.950985	0.000000	0.000000
200.040000	0.276189	1.106110	1.950970	0.000000	0.000000
200.050000	0.276185	1.106110	1.950955	0.000000	0.000000
200.060000	0.276182	1.106111	1.950940	0.000000	0.000000
200.070000	0.276178	1.106111	1.950925	0.000000	0.000000
200.080000	0.276174	1.106112	1.950910	0.000000	0.000000
200.090000	0.276171	1.106114	1.950896	0.000000	0.000000
200.100000	0.276167	1.106115	1.950880	0.000000	0.000000
200.110000	0.276162	1.106118	1.950865	0.000000	0.000000
200.120000	0.276157	1.106121	1.950850	0.000000	0.000000
200.130000	0.276153	1.106125	1.950835	0.000000	0.000000
200.140000	0.276148	1.106129	1.950820	0.000000	0.000000
200.150000	0.276143	1.106134	1.950805	0.000000	0.000000
200.160000	0.276138	1.106139	1.950789	0.000000	0.000000
200.170000	0.276133	1.106144	1.950774	0.000000	0.000000
200.180000	0.276129	1.106149	1.950758	0.000000	0.000000
200.190000	0.276124	1.106153	1.950742	0.000000	0.000000
200.200000	0.276120	1.106156	1.950727	0.000000	0.000000
200.210000	0.276117	1.106158	1.950711	0.000000	0.000000
200.220000	0.276114	1.106160	1.950695	0.000000	0.000000
200.230000	0.276112	1.106161	1.950679	0.000000	0.000000
200.240000	0.276110	1.106162	1.950663	0.000000	0.000000
200.250000	0.276107	1.106163	1.950647	0.000000	0.000000
200.260000	0.276106	1.106163	1.950630	0.000000	0.000000
200.270000	0.276105	1.106164	1.950614	0.000000	0.000000
200.280000	0.276103	1.106165	1.950597	0.000000	0.000000
200.290000	0.276102	1.106166	1.950581	0.000000	0.000000
200.300000	0.276100	1.106168	1.950564	0.000000	0.000000
200.310000	0.276098	1.106170	1.950547	0.000000	0.000000
200.320000	0.276095	1.106172	1.950530	0.000000	0.000000
200.330000	0.276093	1.106174	1.950514	0.000000	0.000000
200.340000	0.276092	1.106176	1.950497	0.000000	0.000000
200.350000	0.276090	1.106178	1.950480	0.000000	0.000000
200.360000	0.276089	1.106180	1.950463	0.000000	0.000000
200.370000	0.276088	1.106182	1.950446	0.000000	0.000000
200.380000	0.276087	1.106183	1.950428	0.000000	0.000000
200.390000	0.276086	1.106184	1.950411	0.000000	0.000000
200.400000	0.276085	1.106185	1.950394	0.000000	0.000000
200.410000	0.276084	1.106185	1.950377	0.000000	0.000000
200.420000	0.276083	1.106185	1.950360	0.000000	0.000000
200.430000	0.276082	1.106185	1.950343	0.000000	0.000000
200.440000	0.276081	1.106184	1.950326	0.000000	0.000000
200.450000	0.276081	1.106183	1.950309	0.000000	0.000000
200.460000	0.276081	1.106182	1.950292	0.000000	0.000000
200.470000	0.276082	1.106180	1.950276	0.000000	0.000000
200.480000	0.276083	1.106178	1.950259	0.000000	0.000000
200.490000	0.276084	1.106176	1.950242	0.000000	0.000000
200.500000	0.276085	1.106173	1.950225	0.000000	0.000000
200.510000	0.276086	1.106170	1.950209	0.000000	0.000000
200.520000	0.276088	1.106166	1.950192	0.000000	0.000000
200.530000	0.276091	1.106162	1.950176	0.000000	0.000000
200.540000	0.276094	1.106158	1.950159	0.000000	0.000000
200.550000	0.276097	1.106153	1.950143	0.000000	0.000000
200.560000	0.276100	1.106148	1.950127	0.000000	0.000000
200.570000	0.276103	1.106143	1.950111	0.000000	0.000000
200.580000	0.276107	1.106137	1.950095	0.000000	0.000000
200.590000	0.276110	1.106131	1.950079	0.000000	0.000000
200.600000	0.276113	1.106126	1.950063	0.000000	0.000000
200.610000	0.276115	1.106120	1.950048	0.000000	0.000000
200.620000	0.276119	1.106115	1.950032	0.000000	0.000000
200.630000	0.276121	1.106111	1.950017	0.000000	0.000000
200.640000	0.276122	1.106107	1.950001	0.000000	0.000000
200.650000	0.276124	1.106104	1.949986	0.000000	0.000000
200.660000	0.276125	1.106102	1.949971	0.000000	0.000000
200.670000	0.276127	1.106100	1.949956	0.000000	0.000000
200.680000	0.276128	1.106099	1.949941	0.000000	0.000000
200.690000	0.276130	1.106097	1.949927	0.000000	0.000000
200.700000	0.276131	1.106095	1.949912	0.000000	0.000000
200.710000	0.276134	1.106093	1.949898	0.000000	0.000000
200.720000	0.276136	1.106090	1.949884	0.000000	0.000000
200.730000	0.276139	1.106086	1.949870	0.000000	0.000000
200.740000	0.276143	1.106083	1.949856	0.000000	0.000000
200.750000	0.276147	1.106079	1.949842	0.000000	0.000000
200.760000	0.276151	1.106074	1.949828	0.000000	0.000000
200.770000	0.276155	1.106069	1.949815	0.000000	0.000000
200.780000	0.276161	1.106064	1.949801	0.000000	0.000000
200.790000	0.276167	1.106059	1.949788	0.000000	0.000000
200.800000	0.276173	1.106053	1.949775	0.000000	0.000000
200.810000	0.276179	1.106047	1.949762	0.000000	0.000000
200.820000	0.276185	1.106041	1.949750	0.000000	0.000000
200.830000	0.276192	1.106033	1.949737	0.000000	0.000000
200.840000	0.276198	1.106025	1.949724	0.000000	0.000000
200.850000	0.276203	1.106015	1.949712	0.000000	0.000000
200.860000	0.276209	1.106005	1.949700	0.000000	0.000000
200.870000	0.276214	1.105994	1.949688	0.000000	0.000000
200.880000	0.276219	1.105981	1.949676	0.000000	0.000000
200.890000	0.276225	1.105967	1.949664	0.000000	0.000000
200.900000	0.276232	1.105953	1.949652	0.000000	0.000000
200.910000	0.276239	1.105939	1.949640	0.000000	0.000000
200.920000	0.276246	1.105925	1.949629	0.000000	0.000000
200.930000	0.276253	1.105911	1.949618	0.000000	0.000000
200.940000	0.276259	1.105899	1.949606	0.000000	0.000000
200.950000	0.276264	1.105888	1.949595	0.000000	0.000000
200.960000	0.276270	1.105879	1.949584	0.000000	0.000000
200.970000	0.276275	1.105871	1.949573	0.000000	0.000000
200.980000	0.276281	1.105864	1.949562	0.000000	0.000000
200.990000	0.276288	1.105857	1.949552	0.000000	0.000000
201.000000	0.276295	1.105850	1.949541	0.000000	0.000000
201.010000	0.276302	1.105842	1.949531	0.000000	0.000000
201.020000	0.276309	1.105833	1.949520	0.000000	0.000000
201.030000	0.276317	1.105822	1.949510	0.000000	0.000000
201.040000	0.276325	1.105810	1.949500	0.000000	0.000000
201.050000	0.276334	1.105795	1.949490	0.000000	0.000000
201.060000	0.276342	1.105780	1.949480	0.000000	0.000000
201.070000	0.276351	1.105764	1.949471	0.000000	0.000000
201.080000	0.276359	1.105748	1.949461	0.000000	0.000000
201.090000	0.276366	1.105732	1.949452	0.000000	0.000000
201.100000	0.276374	1.105718	1.949442	0.000000	0.000000
201.110000	0.276381	1.105706	1.949433	0.000000	0.000000
201.120000	0.276388	1.105696	1.949424	0.000000	0.000000
201.130000	0.276395	1.105689	1.949415	0.000000	0.000000
201.140000	0.276400	1.105684	1.949406	0.000000	0.000000
201.150000	0.276405	1.105682	1.949397	0.000000	0.000000
201.160000	0.276408	1.105681	1.949388	0.000000	0.000000
201.170000	0.276410	1.105682	1.949379	0.000000	0.000000
201.180000	0.276412	1.105683	1.949370	0.000000	0.000000
201.190000	0.276414	1.105684	1.949362	0.000000	0.000000
201.200000	0.276417	1.105685	1.949353	0.000000	0.000000
201.210000	0.276421	1.105685	1.949344	0.000000	0.000000
201.220000	0.276425	1.105684	1.949336	0.000000	0.000000
201.230000	0.276431	1.105682	1.949327	0.000000	0.000000
201.240000	0.276436	1.105679	1.949318	0.000000	0.000000
201.250000	0.276443	1.105675	1.949310	0.000000	0.000000
201.260000	0.276450	1.105671	1.949301	0.000000	0.000000
201.270000	0.276458	1.105666	1.949293	0.000000	0.000000
201.280000	0.276466	1.105663	1.949284	0.000000	0.000000
201.290000	0.276473	1.105660	1.949276	0.000000	0.000000
201.300000	0.276480	1.105658	1.949267	0.000000	0.000000
201.310000	0.276485	1.105657	1.949259	0.000000	0.000000
201.320000	0.276492	1.105656	1.949250	0.000000	0.000000
201.330000	0.276500	1.105656	1.949241	0.000000	0.000000
201.340000	0.276506	1.105655	1.949233	0.000000	0.000000
201.350000	0.276511	1.105654	1.949224	0.000000	0.000000
201.360000	0.276516	1.105652	1.949216	0.000000	0.000000
201.370000	0.276521	1.105649	1.949207	0.000000	0.000000
201.380000	0.276527	1.105645	1.949198	0.000000	0.000000
201.390000	0.276534	1.105639	1.949189	0.000000	0.000000
201.400000	0.276541	1.105631	1.949180	0.000000	0.000000
201.410000	0.276549	1.105623	1.949171	0.000000	0.000000
201.420000	0.276556	1.105613	1.949162	0.000000	0.000000
201.430000	0.276564	1.105603	1.949153	0.000000	0.000000
201.440000	0.276572	1.105592	1.949144	0.000000	0.000000
201.450000	0.276581	1.105581	1.949135	0.000000	0.000000
201.460000	0.276589	1.105570	1.949125	0.000000	0.000000
201.470000	0.276598	1.105559	1.949116	0.000000	0.000000
201.480000	0.276607	1.105549	1.949106	0.000000	0.000000
201.490000	0.276617	1.105539	1.949096	0.000000	0.000000
201.500000	0.276626	1.105531	1.949087	0.000000	0.000000
201.510000	0.276636	1.105523	1.949077	0.000000	0.000000
201.520000	0.276645	1.105515	1.949067	0.000000	0.000000
201.530000	0.276655	1.105509	1.949057	0.000000	0.000000
201.540000	0.276663	1.105504	1.949047	0.000000	0.000000
201.550000	0.276672	1.105500	1.949037	0.000000	0.000000
201.560000	0.276679	1.105497	1.949026	0.000000	0.000000
201.570000	0.276687	1.105495	1.949016	0.000000	0.000000
201.580000	0.276695	1.105493	1.949006	0.000000	0.000000
201.590000	0.276703	1.105492	1.948995	0.000000	0.000000
201.600000	0.276711	1.105491	1.948984	0.000000	0.000000
201.610000	0.276718	1.105492	1.948974	0.000000	0.000000
201.620000	0.276724	1.105492	1.948963	0.000000	0.000000
201.630000	0.276730	1.105492	1.948952	0.000000	0.000000
201.640000	0.276737	1.105491	1.948941	0.000000	0.000000
201.650000	0.276742	1.105490	1.948930	0.000000	0.000000
201.660000	0.276748	1.105487	1.948918	0.000000	0.000000
201.670000	0.276754	1.105484	1.948907	0.000000	0.000000
201.680000	0.276760	1.105481	1.948896	0.000000	0.000000
201.690000	0.276767	1.105477	1.948884	0.000000	0.000000
201.700000	0.276774	1.105472	1.948873	0.000000	0.000000
201.710000	0.276780	1.105467	1.948861	0.000000	0.000000
201.720000	0.276787	1.105462	1.948850	0.000000	0.000000
201.730000	0.276793	1.105457	1.948838	0.000000	0.000000
201.740000	0.276800	1.105453	1.948826	0.000000	0.000000
201.750000	0.276806	1.105450	1.948815	0.000000	0.000000
201.760000	0.276811	1.105448	1.948803	0.000000	0.000000
201.770000	0.276817	1.105447	1.948791	0.000000	0.000000
201.780000	0.276822	1.105447	1.948780	0.000000	0.000000
201.790000	0.276828	1.105447	1.948768	0.000000	0.000000
201.800000	0.276834	1.105448	1.948757	0.000000	0.000000
201.810000	0.276839	1.105449	1.948745	0.000000	0.000000
201.820000	0.276844	1.105451	1.948733	0.000000	0.000000
201.830000	0.276849	1.105452	1.948722	0.000000	0.000000
201.840000	0.276854	1.105453	1.948710	0.000000	0.000000
201.850000	0.276859	1.105453	1.948699	0.000000	0.000000
201.860000	0.276864	1.105453	1.948687	0.000000	0.000000
201.870000	0.276868	1.105454	1.948676	0.000000	0.000000
201.880000	0.276872	1.105454	1.948664	0.000000	0.000000
