t	Ecin	Epot	Rg	buf4	buf5
400.000000	0.538757	-1.141609	1.395040	0.000000	0.000000
400.010000	0.538759	-1.141607	1.395040	0.000000	0.000000
400.020000	0.538760	-1.141603	1.395040	0.000000	0.000000
400.030000	0.538762	-1.141600	1.395040	0.000000	0.000000
400.040000	0.538763	-1.141599	1.395040	0.000000	0.000000
400.050000	0.538764	-1.141599	1.395040	0.000000	0.000000
400.060000	0.538765	-1.141598	1.395041	0.000000	0.000000
400.070000	0.538765	-1.141597	1.395041	0.000000	0.000000
400.080000	0.538764	-1.141593	1.395042	0.000000	0.000000
400.090000	0.538763	-1.141586	1.395042	0.000000	0.000000
400.100000	0.538762	-1.141578	1.395043	0.000000	0.000000
400.110000	0.538760	-1.141568	1.395044	0.000000	0.000000
400.120000	0.538758	-1.141557	1.395045	0.000000	0.000000
400.130000	0.538756	-1.141547	1.395046	0.000000	0.000000
400.140000	0.538754	-1.141536	1.395047	0.000000	0.000000
400.150000	0.538752	-1.141525	1.395049	0.000000	0.000000
400.160000	0.538752	-1.141514	1.395050	0.000000	0.000000
400.170000	0.538751	-1.141504	1.395052	0.000000	0.000000
400.180000	0.538751	-1.141495	1.395053	0.000000	0.000000
400.190000	0.538751	-1.141486	1.395055	0.000000	0.000000
400.200000	0.538750	-1.141477	1.395056	0.000000	0.000000
400.210000	0.538749	-1.141469	1.395058	0.000000	0.000000
400.220000	0.538748	-1.141462	1.395059	0.000000	0.000000
400.230000	0.538747	-1.141456	1.395061	0.000000	0.000000
400.240000	0.538746	-1.141451	1.395062	0.000000	0.000000
400.250000	0.538745	-1.141445	1.395064	0.000000	0.000000
400.260000	0.538744	-1.141440	1.395065	0.000000	0.000000
400.270000	0.538743	-1.141436	1.395067	0.000000	0.000000
400.280000	0.538743	-1.141434	1.395068	0.000000	0.000000
400.290000	0.538743	-1.141434	1.395070	0.000000	0.000000
400.300000	0.538744	-1.141435	1.395071	0.000000	0.000000
400.310000	0.538744	-1.141435	1.395073	0.000000	0.000000
400.320000	0.538744	-1.141434	1.395075	0.000000	0.000000
400.330000	0.538743	-1.141431	1.395076	0.000000	0.000000
