t	Ecin	Epot	Rg	buf4	buf5
30000.000000	0.499557	0.510115	0.797372	0.657120	-0.000138
30001.000000	0.499546	0.510103	0.797371	0.657117	-0.000124
30002.000000	0.499536	0.510092	0.797372	0.657119	-0.000112
30003.000000	0.499530	0.510087	0.797370	0.657114	-0.000110
30004.000000	0.499526	0.510082	0.797364	0.657106	-0.000108
30005.000000	0.499527	0.510079	0.797365	0.657107	-0.000098
30006.000000	0.499523	0.510073	0.797368	0.657111	-0.000088
30007.000000	0.499528	0.510084	0.797363	0.657104	-0.000090
30008.000000	0.499528	0.510093	0.797366	0.657108	-0.000084
30009.000000	0.499533	0.510106	0.797374	0.657122	-0.000074
30010.000000	0.499528	0.510107	0.797374	0.657121	-0.000073
30011.000000	0.499524	0.510100	0.797374	0.657120	-0.000076
30012.000000	0.499529	0.510106	0.797378	0.657126	-0.000079
30013.000000	0.499532	0.510105	0.797375	0.657122	-0.000076
30014.000000	0.499525	0.510099	0.797373	0.657118	-0.000068
30015.000000	0.499536	0.510106	0.797370	0.657113	-0.000066
30016.000000	0.499543	0.510104	0.797373	0.657118	-0.000075
30017.000000	0.499545	0.510104	0.797378	0.657125	-0.000080
30018.000000	0.499553	0.510109	0.797385	0.657138	-0.000088
30019.000000	0.499552	0.510104	0.797379	0.657129	-0.000100
30020.000000	0.499555	0.510100	0.797375	0.657123	-0.000101
30021.000000	0.499552	0.510098	0.797377	0.657126	-0.000095
30022.000000	0.499548	0.510093	0.797374	0.657120	-0.000096
30023.000000	0.499544	0.510089	0.797371	0.657116	-0.000103
30024.000000	0.499538	0.510084	0.797368	0.657111	-0.000098
30025.000000	0.499539	0.510092	0.797372	0.657117	-0.000102
30026.000000	0.499535	0.510092	0.797375	0.657121	-0.000108
30027.000000	0.499538	0.510099	0.797382	0.657133	-0.000104
30028.000000	0.499551	0.510119	0.797389	0.657145	-0.000101
30029.000000	0.499562	0.510143	0.797392	0.657151	-0.000096
30030.000000	0.499565	0.510181	0.797388	0.657144	-0.000085
30031.000000	0.499564	0.510185	0.797379	0.657132	-0.000078
30032.000000	0.499563	0.510189	0.797375	0.657125	-0.000084
30033.000000	0.499558	0.510187	0.797371	0.657119	-0.000095
30034.000000	0.499555	0.510178	0.797378	0.657130	-0.000120
30035.000000	0.499549	0.510168	0.797381	0.657135	-0.000141
30036.000000	0.499548	0.510172	0.797388	0.657146	-0.000153
30037.000000	0.499549	0.510169	0.797386	0.657143	-0.000161
30038.000000	0.499545	0.510163	0.797381	0.657135	-0.000162
30039.000000	0.499543	0.510164	0.797378	0.657130	-0.000154
30040.000000	0.499546	0.510181	0.797372	0.657121	-0.000149
30041.000000	0.499555	0.510184	0.797375	0.657125	-0.000130
30042.000000	0.499566	0.510199	0.797375	0.657124	-0.000115
30043.000000	0.499566	0.510200	0.797374	0.657124	-0.000126
30044.000000	0.499561	0.510194	0.797382	0.657137	-0.000149
30045.000000	0.499553	0.510190	0.797384	0.657140	-0.000162
30046.000000	0.499549	0.510186	0.797381	0.657135	-0.000164
30047.000000	0.499553	0.510192	0.797374	0.657124	-0.000166
30048.000000	0.499548	0.510189	0.797370	0.657119	-0.000176
30049.000000	0.499544	0.510179	0.797369	0.657116	-0.000189
30050.000000	0.499544	0.510183	0.797365	0.657110	-0.000181
30051.000000	0.499546	0.510202	0.797365	0.657109	-0.000165
30052.000000	0.499549	0.510212	0.797358	0.657099	-0.000158
30053.000000	0.499556	0.510218	0.797358	0.657098	-0.000168
30054.000000	0.499564	0.510219	0.797354	0.657092	-0.000169
30055.000000	0.499562	0.510213	0.797359	0.657101	-0.000169
30056.000000	0.499559	0.510212	0.797364	0.657108	-0.000163
30057.000000	0.499562	0.510206	0.797358	0.657100	-0.000156
30058.000000	0.499552	0.510201	0.797359	0.657100	-0.000165
30059.000000	0.499547	0.510192	0.797362	0.657105	-0.000176
30060.000000	0.499540	0.510190	0.797358	0.657099	-0.000179
30061.000000	0.499541	0.510187	0.797355	0.657094	-0.000184
30062.000000	0.499539	0.510180	0.797358	0.657098	-0.000190
30063.000000	0.499536	0.510176	0.797359	0.657099	-0.000203
30064.000000	0.499541	0.510179	0.797363	0.657105	-0.000214
30065.000000	0.499549	0.510183	0.797360	0.657100	-0.000211
30066.000000	0.499557	0.510183	0.797352	0.657089	-0.000216
30067.000000	0.499560	0.510185	0.797356	0.657096	-0.000233
30068.000000	0.499557	0.510192	0.797364	0.657108	-0.000241
30069.000000	0.499554	0.510191	0.797358	0.657100	-0.000235
30070.000000	0.499558	0.510213	0.797352	0.657091	-0.000225
30071.000000	0.499558	0.510221	0.797349	0.657085	-0.000224
30072.000000	0.499558	0.510221	0.797355	0.657096	-0.000232
30073.000000	0.499556	0.510218	0.797361	0.657107	-0.000234
30074.000000	0.499558	0.510221	0.797366	0.657114	-0.000234
30075.000000	0.499558	0.510220	0.797364	0.657112	-0.000239
30076.000000	0.499558	0.510215	0.797360	0.657105	-0.000236
30077.000000	0.499567	0.510221	0.797363	0.657111	-0.000233
30078.000000	0.499566	0.510235	0.797362	0.657107	-0.000236
30079.000000	0.499563	0.510247	0.797356	0.657099	-0.000238
30080.000000	0.499563	0.510249	0.797350	0.657090	-0.000230
30081.000000	0.499566	0.510262	0.797351	0.657090	-0.000220
30082.000000	0.499568	0.510273	0.797349	0.657087	-0.000216
30083.000000	0.499567	0.510274	0.797345	0.657080	-0.000220
30084.000000	0.499565	0.510269	0.797342	0.657076	-0.000232
30085.000000	0.499564	0.510269	0.797351	0.657091	-0.000251
30086.000000	0.499565	0.510271	0.797356	0.657099	-0.000260
30087.000000	0.499565	0.510272	0.797360	0.657106	-0.000248
30088.000000	0.499567	0.510286	0.797352	0.657095	-0.000250
