t	Ecin	Epot	Rg	buf4	buf5
100.000000	0.329685	-5.535372	3.625145	14.887883	-0.015318
101.000000	0.328372	-5.546385	3.612646	14.795760	-0.015355
102.000000	0.327106	-5.556076	3.600522	14.706052	-0.015333
103.000000	0.326435	-5.568409	3.588275	14.616403	-0.015222
104.000000	0.325556	-5.580359	3.576095	14.527685	-0.015124
105.000000	0.324594	-5.593852	3.564353	14.441619	-0.014933
106.000000	0.323776	-5.605802	3.552952	14.357742	-0.014722
107.000000	0.323226	-5.614806	3.541824	14.275710	-0.014497
108.000000	0.323204	-5.624164	3.530172	14.191821	-0.014204
109.000000	0.322609	-5.634743	3.518254	14.107289	-0.014049
110.000000	0.321715	-5.647332	3.506270	14.023046	-0.014067
111.000000	0.321161	-5.658699	3.494934	13.942252	-0.013989
112.000000	0.320266	-5.666800	3.484575	13.866444	-0.013679
113.000000	0.319105	-5.675242	3.473870	13.789535	-0.013373
114.000000	0.318318	-5.685169	3.463058	13.712648	-0.013031
115.000000	0.317650	-5.694639	3.453427	13.641666	-0.012721
116.000000	0.316708	-5.701639	3.444653	13.575209	-0.012479
117.000000	0.315665	-5.708969	3.435482	13.507265	-0.012181
118.000000	0.314582	-5.715398	3.425923	13.437922	-0.011914
119.000000	0.313952	-5.722510	3.416288	13.368661	-0.011793
120.000000	0.313916	-5.727376	3.407298	13.302795	-0.011692
121.000000	0.313773	-5.731546	3.398642	13.238887	-0.011480
122.000000	0.314217	-5.740364	3.389759	13.174299	-0.011092
123.000000	0.314306	-5.748114	3.381985	13.115356	-0.010684
124.000000	0.313798	-5.755059	3.375146	13.061372	-0.010425
125.000000	0.313497	-5.761978	3.367987	13.006098	-0.010295
126.000000	0.313731	-5.770511	3.360063	12.947466	-0.010210
127.000000	0.314330	-5.780661	3.351141	12.884577	-0.010178
128.000000	0.315286	-5.792098	3.341694	12.819765	-0.010214
129.000000	0.315145	-5.802911	3.332505	12.756432	-0.010341
130.000000	0.314448	-5.813252	3.323647	12.694898	-0.010499
131.000000	0.313836	-5.824162	3.314670	12.633204	-0.010651
132.000000	0.312809	-5.836529	3.305875	12.572638	-0.010840
133.000000	0.311566	-5.848399	3.297301	12.513372	-0.011101
134.000000	0.310563	-5.861313	3.288992	12.455583	-0.011438
135.000000	0.309596	-5.875267	3.280535	12.397477	-0.011843
136.000000	0.308603	-5.889229	3.272185	12.340149	-0.012185
137.000000	0.307711	-5.902590	3.263895	12.283392	-0.012526
138.000000	0.307096	-5.914578	3.255801	12.227787	-0.012912
139.000000	0.306327	-5.925754	3.247851	12.173097	-0.013299
140.000000	0.305630	-5.936245	3.239966	12.118983	-0.013740
141.000000	0.304776	-5.947864	3.232268	12.065955	-0.014159
142.000000	0.304049	-5.958705	3.224696	12.013753	-0.014545
143.000000	0.303290	-5.967375	3.217176	11.962045	-0.014883
144.000000	0.302563	-5.974990	3.209902	11.911671	-0.015112
145.000000	0.302274	-5.982016	3.203033	11.863327	-0.015274
146.000000	0.301866	-5.988894	3.196486	11.816663	-0.015311
147.000000	0.301509	-5.994895	3.190325	11.771981	-0.015283
148.000000	0.301163	-5.999683	3.184940	11.731151	-0.015209
149.000000	0.300747	-6.005595	3.179982	11.692583	-0.015055
150.000000	0.300095	-6.010666	3.175022	11.654198	-0.014945
151.000000	0.299682	-6.014724	3.170646	11.618883	-0.014827
152.000000	0.299562	-6.018075	3.166353	11.584161	-0.014644
