t	Ecin	Epot	Rg	buf4	buf5
900.000000	0.329434	-6.296460	2.809302	8.870264	-0.004924
901.000000	0.329471	-6.296185	2.809218	8.868714	-0.004957
902.000000	0.329564	-6.296000	2.809194	8.867501	-0.005022
903.000000	0.329594	-6.295502	2.809364	8.867401	-0.005105
904.000000	0.329614	-6.295275	2.809664	8.868097	-0.005205
905.000000	0.329651	-6.294998	2.810256	8.870672	-0.005314
906.000000	0.329624	-6.294796	2.811105	8.875023	-0.005431
907.000000	0.329576	-6.294581	2.812184	8.881076	-0.005546
908.000000	0.329562	-6.294342	2.813365	8.887914	-0.005670
909.000000	0.329574	-6.294223	2.814808	8.896863	-0.005805
910.000000	0.329591	-6.293889	2.816562	8.908476	-0.005948
911.000000	0.329541	-6.293297	2.818504	8.921781	-0.006095
912.000000	0.329516	-6.292662	2.820562	8.936172	-0.006242
913.000000	0.329570	-6.291782	2.822799	8.952296	-0.006399
914.000000	0.329602	-6.290575	2.825417	8.972274	-0.006595
915.000000	0.329667	-6.289004	2.828453	8.996796	-0.006832
916.000000	0.329796	-6.287376	2.831891	9.026001	-0.007107
917.000000	0.329958	-6.285361	2.835698	9.059764	-0.007406
918.000000	0.330241	-6.283116	2.839775	9.097032	-0.007734
919.000000	0.330612	-6.280765	2.843866	9.134528	-0.008058
920.000000	0.331016	-6.278374	2.847793	9.169924	-0.008366
921.000000	0.331329	-6.276065	2.851498	9.202514	-0.008641
922.000000	0.331685	-6.273508	2.855088	9.233713	-0.008912
923.000000	0.332006	-6.270748	2.858637	9.264423	-0.009171
924.000000	0.332270	-6.267684	2.862238	9.295818	-0.009420
925.000000	0.332332	-6.264959	2.865687	9.325380	-0.009684
926.000000	0.332409	-6.262433	2.868783	9.350806	-0.009947
927.000000	0.332528	-6.260129	2.871474	9.371759	-0.010200
928.000000	0.332717	-6.257959	2.873741	9.388347	-0.010425
929.000000	0.332924	-6.256059	2.875734	9.402283	-0.010624
930.000000	0.333064	-6.253994	2.877578	9.414833	-0.010810
931.000000	0.333212	-6.251784	2.879169	9.425128	-0.010974
932.000000	0.333370	-6.249749	2.880407	9.432485	-0.011136
933.000000	0.333500	-6.247920	2.881308	9.437221	-0.011283
934.000000	0.333575	-6.246081	2.882269	9.442408	-0.011393
935.000000	0.333656	-6.244364	2.883385	9.448790	-0.011457
936.000000	0.333658	-6.242490	2.884666	9.456507	-0.011475
937.000000	0.333645	-6.240470	2.886123	9.465688	-0.011465
938.000000	0.333678	-6.238508	2.887522	9.474393	-0.011444
939.000000	0.333647	-6.236782	2.888656	9.480944	-0.011429
940.000000	0.333645	-6.235243	2.889678	9.486625	-0.011423
941.000000	0.333652	-6.233984	2.890509	9.490875	-0.011426
942.000000	0.333725	-6.233247	2.890947	9.492391	-0.011437
943.000000	0.333897	-6.232229	2.891220	9.492836	-0.011469
944.000000	0.334258	-6.231549	2.891384	9.492611	-0.011483
945.000000	0.334576	-6.230934	2.891445	9.491768	-0.011487
946.000000	0.334778	-6.230553	2.891472	9.490728	-0.011479
947.000000	0.334978	-6.230065	2.891426	9.489275	-0.011456
948.000000	0.335013	-6.229693	2.891306	9.487402	-0.011438
949.000000	0.334917	-6.229471	2.891251	9.485899	-0.011429
950.000000	0.334797	-6.229432	2.891273	9.484841	-0.011415
951.000000	0.334704	-6.229192	2.891387	9.484335	-0.011413
952.000000	0.334626	-6.228574	2.891664	9.484830	-0.011426
953.000000	0.334599	-6.228163	2.892140	9.486618	-0.011461
954.000000	0.334591	-6.227605	2.892701	9.488988	-0.011508
955.000000	0.334598	-6.226835	2.893315	9.491730	-0.011546
956.000000	0.334562	-6.225937	2.893887	9.494186	-0.011568
957.000000	0.334524	-6.225255	2.894227	9.495091	-0.011581
958.000000	0.334529	-6.224603	2.894652	9.496562	-0.011586
959.000000	0.334514	-6.223899	2.895224	9.499023	-0.011584
960.000000	0.334588	-6.223138	2.895849	9.501854	-0.011546
961.000000	0.334601	-6.222639	2.896376	9.504016	-0.011498
962.000000	0.334645	-6.222242	2.896743	9.505110	-0.011445
963.000000	0.334662	-6.221733	2.896998	9.505496	-0.011386
964.000000	0.334701	-6.221365	2.897147	9.505226	-0.011327
965.000000	0.334794	-6.221000	2.897307	9.505029	-0.011291
966.000000	0.335013	-6.220813	2.897408	9.504476	-0.011267
967.000000	0.335153	-6.220835	2.897414	9.503359	-0.011233
968.000000	0.335291	-6.220762	2.897421	9.502259	-0.011194
969.000000	0.335409	-6.220484	2.897447	9.501264	-0.011149
970.000000	0.335513	-6.220119	2.897349	9.499568	-0.011094
971.000000	0.335587	-6.219795	2.897112	9.497114	-0.011052
972.000000	0.335648	-6.219522	2.896801	9.494268	-0.011029
973.000000	0.335733	-6.219367	2.896494	9.491448	-0.011025
974.000000	0.335761	-6.219150	2.896135	9.488365	-0.011033
