t	Ecin	Epot	Rg	buf4	buf5
0.000000	0.070316	0.000301	1.120426	1.255355	1.001958
1.000000	0.387447	0.236928	1.039993	1.097932	0.892277
2.000000	0.555460	0.307469	0.891737	0.829196	0.583076
3.000000	0.574162	0.278459	0.806694	0.688179	0.334384
4.000000	0.519488	0.285703	0.820727	0.703878	0.209568
5.000000	0.492479	0.313922	0.842012	0.735816	0.246814
6.000000	0.480523	0.321330	0.864474	0.772325	0.277458
7.000000	0.488163	0.324891	0.852547	0.750366	0.238181
8.000000	0.498873	0.354935	0.822971	0.704129	0.211238
9.000000	0.490791	0.379857	0.823627	0.702923	0.178096
10.000000	0.479346	0.384872	0.826065	0.705816	0.161803
11.000000	0.472817	0.372400	0.813779	0.685111	0.179270
12.000000	0.462246	0.368632	0.816714	0.688270	0.211127
13.000000	0.458494	0.360531	0.810638	0.677296	0.217910
14.000000	0.460614	0.349510	0.804297	0.666369	0.196636
15.000000	0.458202	0.353537	0.802092	0.661716	0.174894
16.000000	0.460219	0.341740	0.810618	0.675977	0.139992
17.000000	0.454185	0.336726	0.818647	0.689370	0.107839
18.000000	0.461375	0.336888	0.812545	0.679078	0.088322
19.000000	0.470354	0.341862	0.818529	0.689373	0.105115
20.000000	0.470605	0.357622	0.828371	0.707614	0.113732
21.000000	0.474359	0.356022	0.822785	0.698061	0.108708
22.000000	0.477225	0.348283	0.818435	0.690828	0.085182
23.000000	0.472829	0.364613	0.824659	0.701043	0.054414
24.000000	0.474678	0.378097	0.831192	0.712337	0.038740
25.000000	0.478451	0.377840	0.837054	0.722159	0.030960
26.000000	0.484643	0.390742	0.834710	0.718202	0.022766
27.000000	0.487086	0.405128	0.830337	0.711465	0.012563
28.000000	0.482339	0.402039	0.838554	0.726430	0.008104
29.000000	0.477040	0.393098	0.833310	0.717850	0.012771
30.000000	0.484532	0.393674	0.829597	0.711487	0.008083
31.000000	0.498608	0.390807	0.828431	0.708866	0.001848
32.000000	0.495104	0.384658	0.824778	0.702603	0.008236
33.000000	0.490595	0.383912	0.826273	0.704501	0.027455
34.000000	0.491065	0.380133	0.827733	0.706374	0.035387
35.000000	0.495173	0.378140	0.825769	0.702764	0.036626
36.000000	0.493980	0.379763	0.828471	0.706921	0.034807
37.000000	0.491120	0.382947	0.829715	0.708513	0.029122
38.000000	0.493140	0.391440	0.827741	0.705045	0.021315
39.000000	0.493604	0.403916	0.822077	0.696468	0.014110
40.000000	0.494292	0.411864	0.818142	0.690166	0.008050
41.000000	0.489510	0.412758	0.816206	0.686650	-0.003075
42.000000	0.489879	0.418233	0.818967	0.691441	-0.012270
43.000000	0.487092	0.417329	0.820564	0.693815	-0.015097
44.000000	0.485359	0.422874	0.820660	0.693555	-0.016032
45.000000	0.483606	0.422014	0.819446	0.691244	-0.012224
46.000000	0.484798	0.419731	0.821271	0.694302	-0.001302
47.000000	0.488652	0.419950	0.826690	0.704165	0.008933
48.000000	0.491083	0.420177	0.827637	0.705760	0.018213
